Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude
House,,,,,,,,10 Rachael Street Moorooka 4105,-27.5356923,153.0334995
House,,,,,,,,12 Rachael Street Moorooka 4105,-27.5358291,153.0335455
House,,,,,,,,14 Rachael Street Moorooka 4105,-27.5360601,153.0336375
House,,,,,,,,16 Rachael Street Moorooka 4105,-27.5360985,153.0338214
House,,,,,,,,18 Rachael Street Moorooka 4105,-27.5360425,153.0339594
House,,,,,,,,349 Tarragindi Road Moorooka 4105,-27.5354565,153.0321657
House,,,,,,,,359 Tarragindi Road Moorooka 4105,-27.5359458,153.0320737
House,,,,,,,,363 Tarragindi Road Moorooka 4105,-27.5361057,153.0320277
House,,,,,,,,367 Tarragindi Road Moorooka 4105,-27.5362752,153.0320277
House,,,,,,,,379 Tarragindi Road Moorooka 4105,-27.5367836,153.0320277
House,,,,,,,,21 Cairo Street Enoggera 4051,-27.4211618,152.9901409
House,,,,,,,,1 Gizeh Street Enoggera 4051,-27.4209683,152.98969
House,,,,,,,,5 Gizeh Street Enoggera 4051,-27.4209204,152.98946
House,,,,,,,,4 Malcolm Street Enoggera 4051,-27.4230049,152.9884971
House,,,,,,,,178 Samford Road Enoggera 4051,-27.4231647,152.9921231
House,,,,,,,,317 Wardell Street Enoggera 4051,-27.4231772,152.9908887
House,,,,,,,,368 Wardell Street Enoggera 4051,-27.4204155,152.9908307
House,,,,,,,,372 Wardell Street Enoggera 4051,-27.4202979,152.9908767
